order_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,country,payment_method,order_status,order_timestamp
ORD-101461,CUST-12192,PROD-1045,T-Shirt,Apparel,3,36.46,109.38,United States,Debit Card,Processing,2026-01-03 08:31:31
ORD-100899,CUST-10808,PROD-1043,Smart Watch,Electronics,1,783.55,783.55,United States,Debit Card,Cancelled,2026-01-03 08:41:58
ORD-109415,CUST-11743,PROD-1010,Bluetooth Speaker,Electronics,1,391.19,391.19,Spain,Credit Card,Completed,2026-01-03 08:48:55
ORD-103255,CUST-12204,PROD-1019,Bluetooth Speaker,Electronics,1,628.46,628.46,Canada,PayPal,Completed,2026-01-03 08:56:59
ORD-108730,CUST-11494,PROD-1046,Smart Watch,Electronics,1,211.57,211.57,Australia,PayPal,Shipped,2026-01-03 09:00:07
ORD-106387,CUST-10813,PROD-1047,Training Gloves,Sports,1,197.21,197.21,United States,Credit Card,Completed,2026-01-03 09:42:39
ORD-108125,CUST-11896,PROD-1084,Wireless Headphones,Electronics,1,562.98,562.98,Brazil,Debit Card,Completed,2026-01-03 09:43:01
ORD-101789,CUST-11480,PROD-1145,Running Shoes,Apparel,2,159.52,319.04,Mexico,Debit Card,Completed,2026-01-03 10:00:44
ORD-104884,CUST-10586,PROD-1003,USB-C Hub,Electronics,2,127.15,254.3,Spain,Debit Card,Completed,2026-01-03 10:58:14
ORD-102875,CUST-12464,PROD-1018,Air Fryer,Home,1,319.12,319.12,Spain,Credit Card,Completed,2026-01-03 11:06:20
ORD-101772,CUST-11417,PROD-1013,Kafka in Action,Books,1,47.09,47.09,Australia,Debit Card,Completed,2026-01-03 11:23:39
ORD-101236,CUST-11186,PROD-1119,Resistance Bands,Sports,1,295.87,295.87,Mexico,PayPal,Completed,2026-01-03 11:43:17
ORD-100356,CUST-11448,PROD-1047,Wireless Headphones,Electronics,1,559.84,559.84,Canada,Debit Card,Shipped,2026-01-03 12:02:46
ORD-109051,CUST-11261,PROD-1051,Running Shoes,Apparel,2,185.88,371.76,Mexico,PayPal,Shipped,2026-01-03 12:26:50
ORD-109905,CUST-11372,PROD-1062,Kitchen Scale,Home,1,263.47,263.47,United States,Credit Card,Completed,2026-01-03 12:51:07
ORD-100066,CUST-11615,PROD-1096,Smart Watch,Electronics,2,317.82,635.64,United States,Credit Card,Cancelled,2026-01-03 13:33:53
ORD-103454,CUST-11998,PROD-1037,Kafka in Action,Books,1,70.67,70.67,United States,Credit Card,Cancelled,2026-01-03 13:48:05
ORD-109938,CUST-10716,PROD-1013,Sports Bottle,Sports,2,109.1,218.2,Germany,PayPal,Cancelled,2026-01-03 14:02:44
ORD-100472,CUST-10341,PROD-1141,Smart Watch,Electronics,1,459.03,459.03,United States,Bank Transfer,Processing,2026-01-03 15:30:21
ORD-105787,CUST-12306,PROD-1068,Yoga Mat,Sports,2,38.2,76.4,Mexico,Credit Card,Processing,2026-01-03 15:44:22
ORD-109625,CUST-12392,PROD-1035,Kitchen Scale,Home,2,100.43,200.86,Spain,Digital Wallet,Cancelled,2026-01-03 15:48:52
ORD-109886,CUST-10894,PROD-1104,Cloud Computing Basics,Books,4,38.57,154.28,Australia,Credit Card,Processing,2026-01-03 15:59:41
ORD-102041,CUST-10310,PROD-1007,Running Shoes,Apparel,2,212.43,424.86,Australia,Credit Card,Completed,2026-01-03 16:24:47
ORD-100994,CUST-10410,PROD-1123,Kitchen Scale,Home,1,297.13,297.13,Australia,PayPal,Completed,2026-01-03 16:55:08
ORD-109254,CUST-12297,PROD-1115,Yoga Mat,Sports,1,53.47,53.47,Germany,PayPal,Completed,2026-01-03 17:08:02
ORD-106977,CUST-12239,PROD-1143,Yoga Mat,Sports,2,159.65,319.3,Canada,Credit Card,Completed,2026-01-03 17:23:31
ORD-109979,CUST-10790,PROD-1115,T-Shirt,Apparel,1,81.24,81.24,Mexico,Credit Card,Shipped,2026-01-03 17:26:45
ORD-100432,CUST-11435,PROD-1012,T-Shirt,Apparel,1,200.84,200.84,United States,Debit Card,Completed,2026-01-03 17:26:47
ORD-108187,CUST-10394,PROD-1072,Cloud Computing Basics,Books,2,20.78,41.56,Mexico,Credit Card,Completed,2026-01-03 17:34:47
ORD-100204,CUST-11017,PROD-1091,Hoodie,Apparel,4,128.15,512.6,United States,Bank Transfer,Completed,2026-01-03 18:42:44
ORD-108232,CUST-10516,PROD-1032,Dumbbell Set,Sports,4,96.05,384.2,Mexico,Digital Wallet,Completed,2026-01-03 19:02:17
ORD-105359,CUST-10660,PROD-1132,Vacuum Cleaner,Home,2,437.48,874.96,Germany,Digital Wallet,Completed,2026-01-03 20:00:11
ORD-101748,CUST-12423,PROD-1033,Training Gloves,Sports,1,207.42,207.42,Canada,Credit Card,Shipped,2026-01-03 20:05:38
ORD-103945,CUST-12136,PROD-1048,Smart Watch,Electronics,1,485.02,485.02,United States,Debit Card,Completed,2026-01-03 20:10:25
ORD-106788,CUST-11154,PROD-1136,Yoga Mat,Sports,2,295.94,591.88,Mexico,Bank Transfer,Completed,2026-01-03 20:17:09
ORD-103563,CUST-11401,PROD-1016,Air Fryer,Home,1,114.21,114.21,Spain,Digital Wallet,Completed,2026-01-03 20:23:15
ORD-108417,CUST-10824,PROD-1107,T-Shirt,Apparel,2,182.35,364.7,Mexico,Credit Card,Completed,2026-01-03 20:46:28
ORD-104345,CUST-11813,PROD-1048,Air Fryer,Home,3,282.04,846.12,Canada,Debit Card,Completed,2026-01-03 20:51:29
ORD-105206,CUST-10508,PROD-1026,Resistance Bands,Sports,1,146.59,146.59,Germany,Bank Transfer,Processing,2026-01-03 21:05:53
ORD-101692,CUST-11298,PROD-1020,Coffee Maker,Home,1,445.06,445.06,Australia,PayPal,Processing,2026-01-03 21:09:03
ORD-101078,CUST-11020,PROD-1029,Smart Watch,Electronics,1,236.77,236.77,Australia,Credit Card,Completed,2026-01-03 21:27:01
ORD-100913,CUST-11797,PROD-1074,Kitchen Scale,Home,2,385.41,770.82,United States,Credit Card,Completed,2026-01-03 21:51:05
ORD-106392,CUST-11835,PROD-1113,Yoga Mat,Sports,1,62.45,62.45,Spain,Credit Card,Completed,2026-01-03 22:16:42
ORD-106236,CUST-10956,PROD-1101,Running Shoes,Apparel,1,38.78,38.78,United States,Bank Transfer,Completed,2026-01-03 22:38:58
ORD-103684,CUST-11986,PROD-1117,Jeans,Apparel,1,215.52,215.52,Brazil,Credit Card,Cancelled,2026-01-03 23:16:42
ORD-106472,CUST-11438,PROD-1144,Jeans,Apparel,1,75.06,75.06,Mexico,Debit Card,Shipped,2026-01-04 00:51:44
ORD-102090,CUST-10646,PROD-1133,Sports Bottle,Sports,4,32.74,130.96,Germany,PayPal,Cancelled,2026-01-04 01:13:28
ORD-106163,CUST-11404,PROD-1138,Air Fryer,Home,5,186.25,931.25,Canada,Credit Card,Completed,2026-01-04 01:55:17
ORD-106428,CUST-10168,PROD-1119,Bluetooth Speaker,Electronics,1,539.95,539.95,Mexico,Bank Transfer,Cancelled,2026-01-04 02:34:42
ORD-104789,CUST-11154,PROD-1099,Kitchen Scale,Home,1,207.31,207.31,United States,Digital Wallet,Processing,2026-01-04 02:43:03
ORD-102728,CUST-12121,PROD-1007,Bluetooth Speaker,Electronics,2,739.72,1479.44,Mexico,Credit Card,Cancelled,2026-01-04 02:56:43
ORD-104645,CUST-10387,PROD-1131,Sports Bottle,Sports,2,111.73,223.46,Germany,Credit Card,Completed,2026-01-04 03:41:34
ORD-107071,CUST-11925,PROD-1150,Coffee Maker,Home,2,382.94,765.88,Mexico,Debit Card,Completed,2026-01-04 04:38:45
ORD-106574,CUST-11359,PROD-1027,Mechanical Keyboard,Electronics,3,187.26,561.78,United Kingdom,PayPal,Completed,2026-01-04 04:59:42
ORD-107861,CUST-10398,PROD-1077,Wireless Headphones,Electronics,2,884.96,1769.92,Spain,Credit Card,Processing,2026-01-04 05:38:24
ORD-107293,CUST-12139,PROD-1138,Desk Lamp,Home,1,43.94,43.94,Canada,Credit Card,Processing,2026-01-04 05:40:50
ORD-107439,CUST-12382,PROD-1102,Mechanical Keyboard,Electronics,1,489.26,489.26,Spain,Credit Card,Shipped,2026-01-04 06:14:39
ORD-107411,CUST-10297,PROD-1093,Kitchen Scale,Home,1,398.47,398.47,Mexico,Credit Card,Completed,2026-01-04 07:30:07
ORD-104659,CUST-11946,PROD-1099,Dumbbell Set,Sports,1,205.4,205.4,Mexico,Debit Card,Completed,2026-01-04 08:26:49
ORD-101173,CUST-10139,PROD-1015,Mechanical Keyboard,Electronics,4,162.05,648.2,United States,Credit Card,Processing,2026-01-04 09:19:26
ORD-102899,CUST-11458,PROD-1123,Wireless Headphones,Electronics,2,831.03,1662.06,Mexico,Credit Card,Completed,2026-01-04 10:16:26
ORD-105793,CUST-11542,PROD-1104,Python Handbook,Books,1,60.72,60.72,Mexico,PayPal,Processing,2026-01-04 10:36:21
ORD-104635,CUST-10523,PROD-1038,Python Handbook,Books,1,27.16,27.16,Canada,Debit Card,Completed,2026-01-04 12:54:16
ORD-102337,CUST-11976,PROD-1069,Desk Lamp,Home,2,403.17,806.34,United States,PayPal,Cancelled,2026-01-04 13:37:01
ORD-102993,CUST-10045,PROD-1125,Kitchen Scale,Home,1,124.65,124.65,Mexico,Credit Card,Cancelled,2026-01-04 13:47:38
ORD-106359,CUST-11043,PROD-1091,Jeans,Apparel,1,67.82,67.82,Mexico,Credit Card,Shipped,2026-01-04 16:47:38
ORD-106797,CUST-12192,PROD-1062,Vacuum Cleaner,Home,1,261.82,261.82,Mexico,Credit Card,Completed,2026-01-04 18:15:15
ORD-101076,CUST-10745,PROD-1035,Air Fryer,Home,4,104.97,419.88,Brazil,PayPal,Cancelled,2026-01-04 19:06:46
ORD-107395,CUST-11925,PROD-1057,USB-C Hub,Electronics,1,112.26,112.26,Mexico,Debit Card,Completed,2026-01-04 19:08:40
ORD-101970,CUST-11890,PROD-1145,USB-C Hub,Electronics,5,697.42,3487.1,United Kingdom,Debit Card,Shipped,2026-01-04 20:35:38
ORD-104407,CUST-10279,PROD-1083,Mechanical Keyboard,Electronics,1,723.8,723.8,Mexico,PayPal,Completed,2026-01-04 21:04:31
ORD-109842,CUST-10561,PROD-1029,Kitchen Scale,Home,1,195.98,195.98,Germany,Credit Card,Completed,2026-01-04 22:00:34
ORD-103438,CUST-12456,PROD-1004,Data Engineering Guide,Books,2,70.41,140.82,Mexico,PayPal,Completed,2026-01-04 22:00:49
ORD-104956,CUST-11455,PROD-1114,Desk Lamp,Home,1,266.93,266.93,United States,Debit Card,Cancelled,2026-01-04 22:02:00
ORD-100673,CUST-11688,PROD-1059,T-Shirt,Apparel,1,173.22,173.22,United States,PayPal,Processing,2026-01-04 22:17:46
ORD-101362,CUST-10990,PROD-1007,T-Shirt,Apparel,2,60.23,120.46,Spain,Debit Card,Completed,2026-01-04 23:12:36
ORD-105110,CUST-10067,PROD-1117,SQL Mastery,Books,2,21.04,42.08,United States,Digital Wallet,Processing,2026-01-04 23:56:15
ORD-109322,CUST-11481,PROD-1086,Jacket,Apparel,2,51.13,102.26,United Kingdom,Debit Card,Cancelled,2026-01-05 00:45:44
ORD-104907,CUST-11903,PROD-1111,Bluetooth Speaker,Electronics,1,382.06,382.06,Mexico,PayPal,Completed,2026-01-05 01:24:12
ORD-105210,CUST-10234,PROD-1078,Data Engineering Guide,Books,2,27.95,55.9,Mexico,PayPal,Cancelled,2026-01-05 03:08:18
ORD-103958,CUST-10223,PROD-1106,Bluetooth Speaker,Electronics,1,541.13,541.13,Canada,Credit Card,Completed,2026-01-05 03:32:25
ORD-109209,CUST-10878,PROD-1145,Running Shoes,Apparel,1,128.55,128.55,Spain,Credit Card,Completed,2026-01-05 03:45:49
ORD-106519,CUST-10225,PROD-1068,Smart Watch,Electronics,2,527.97,1055.94,Mexico,Credit Card,Completed,2026-01-05 05:34:12
ORD-106952,CUST-11987,PROD-1065,Air Fryer,Home,1,424.91,424.91,Australia,Credit Card,Processing,2026-01-05 06:13:14
ORD-103747,CUST-12000,PROD-1099,Vacuum Cleaner,Home,1,342.09,342.09,Canada,Bank Transfer,Processing,2026-01-05 06:16:05
ORD-108200,CUST-10635,PROD-1034,Wireless Headphones,Electronics,1,374.2,374.2,Australia,PayPal,Cancelled,2026-01-05 06:48:35
ORD-105074,CUST-12025,PROD-1045,Cloud Computing Basics,Books,1,69.6,69.6,Mexico,Credit Card,Completed,2026-01-05 07:12:13
ORD-100285,CUST-10883,PROD-1104,Wireless Headphones,Electronics,1,849.57,849.57,Brazil,Credit Card,Completed,2026-01-05 07:18:46
ORD-100346,CUST-12005,PROD-1033,Jacket,Apparel,2,91.69,183.38,Brazil,Digital Wallet,Shipped,2026-01-05 09:14:09
ORD-106383,CUST-11653,PROD-1100,Smart Watch,Electronics,2,369.89,739.78,Brazil,Credit Card,Shipped,2026-01-05 09:39:14
ORD-109559,CUST-12145,PROD-1150,Jeans,Apparel,1,91.45,91.45,United States,PayPal,Completed,2026-01-05 09:57:41
ORD-101242,CUST-10726,PROD-1107,Yoga Mat,Sports,5,19.57,97.85,United Kingdom,PayPal,Cancelled,2026-01-05 10:30:13
ORD-108063,CUST-11014,PROD-1132,Bluetooth Speaker,Electronics,1,278.36,278.36,Brazil,Credit Card,Completed,2026-01-05 10:31:05
ORD-109734,CUST-10590,PROD-1090,Resistance Bands,Sports,1,222.36,222.36,Canada,Debit Card,Completed,2026-01-05 10:57:08
ORD-104496,CUST-11055,PROD-1091,Vacuum Cleaner,Home,1,320.46,320.46,United States,Credit Card,Cancelled,2026-01-05 11:31:39
ORD-107656,CUST-11255,PROD-1011,Resistance Bands,Sports,1,55.3,55.3,United States,PayPal,Processing,2026-01-05 11:52:49
